256815,6581,01C,2517,120,TURF-G,1,0,09,43.34170150756836,-85.77989959716797,815,,387,27,43.34170150756836,-85.77030181884766,815,,580
254664,6597,01J,3365,125,TURF-P,1,0,18,30.690900802612305,-81.90640258789062,59,,795,36,30.681699752807617,-81.90499877929688,59,,370
345167,345166,01OL,1600,75,Turf,0,0,5,34.360721588134766,-96.7364730834961,1058,50,,23,34.3930549621582,-96.68888854980469,1043,230,
341547,341544,02FD,3443,150,Turf,0,0,1,30.947599411010742,-86.63600158691406,190,,,19,30.95709991455078,-86.63490295410156,209,,
245857,6701,03CO,4000,30,ASPH-G,0,0,13,40.21670150756836,-104.7490005493164,4900,140,,31,40.20830154418945,-104.73999786376953,4950,,
251866,6762,04I,2382,120,TURF-G,1,0,06,39.90919876098633,-83.19280242919922,920,,,24,39.91310119628906,-83.18470001220703,920,,
342439,342438,04TT,4645,55,ASP,0,0,18,29.719541549682617,-99.54539489746094,1550,,,36,29.706689834594727,-99.54586029052734,1523,,
253744,6802,04W,2751,75,ASPH-G,1,0,06,46.02130126953125,-92.90010070800781,1021,66,190,24,46.02439880371094,-92.89019775390625,1009,246,394
240517,6812,05CL,3700,60,ASPH-G,1,0,10,38.61309814453125,-122.39700317382812,618,116,840,28,38.60860061645508,-122.38600158691406,618,,340
255388,6854,05V,6160,52,DIRT-G,0,0,03,37.40480041503906,-105.55999755859375,7696,41,,21,37.41749954223633,-105.5459976196289,7720,221,
252823,6860,05Y,3280,200,TURF-G,1,0,17,46.30839920043945,-95.44229888916016,1440,,,35,46.299598693847656,-95.44229888916016,1455,,
245598,6868,06FA,7003,150,ASPH,1,0,09,26.908100128173828,-80.33920288085938,28,90,241,27,26.908199310302734,-80.31770324707031,28,270,241
247424,6889,06N,2811,60,ASPH-G,1,0,08,41.430198669433594,-74.39610290527344,503,62,563,26,41.43370056152344,-74.38700103759766,521,242,
340869,340868,06TT,3129,75,Turf,0,0,13,30.862899780273438,-100.20570373535156,2165,,,31,30.857099533081055,-100.19830322265625,2152,,
252720,6914,06Y,2997,60,ASPH-G,1,0,14,45.83319854736328,-96.1635971069336,1055,,,32,45.82619857788086,-96.15740203857422,1068,,
246800,6918,07B,3186,100,TURF-F,0,0,16,44.45180130004883,-68.57279968261719,363,,,34,44.44419860839844,-68.56659698486328,322,,
249201,6923,07D,2244,65,TURF-G,1,0,18,43.06760025024414,-82.7239990234375,770,177,,36,43.0614013671875,-82.72360229492188,770,357,1000
355065,355064,07IA,1600,60,Turf,0,0,18,40.650081,-95.021511,971,177,,36,40.645694,-95.021189,969,357,
250306,6932,07K,3700,60,CONC-E,1,0,15,41.11640167236328,-98.05329895019531,1715,,,33,41.1067008972168,-98.04940032958984,1716,,
243729,6943,07MT,13500,300,CONC-G,1,0,10,48.430301666259766,-106.552001953125,2757,120,,28,48.411800384521484,-106.50399780273438,2748,300,
256187,6966,08B,1935,100,TURF-G,1,0,14,44.00170135498047,-69.88999938964844,56,,417,32,43.99829864501953,-69.8843002319336,57,,143
255617,7006,08R,2129,30,ASPH-P,1,0,11,41.489898681640625,-71.62449645996094,130,,,29,41.48910140991211,-71.6167984008789,127,,130
241029,7019,09CL,3000,50,ASPH-F,0,0,01,39.11000061035156,-121.05899810791016,2240,26,,19,39.11750030517578,-121.05400085449219,2310,,
253546,7051,09S,1765,150,TURF-P,0,0,16,48.843299865722656,-117.28399658203125,2621,,,34,48.8385009765625,-117.28399658203125,2603,,
247079,7063,0AK,2541,55,GRVL-F,1,0,07,61.934600830078125,-162.90699768066406,305,91,,25,61.93450164794922,-162.89199829101562,288,271,47
